state,year,period,dmo_domestic_debt_stock_naira,fiscal_pressure_band,split_group,model_ready_flag,source_file,source_sheet,source_note,cleaning_status,interim_note
Edo,2022,2025_Q1_or_latest_available_context,110991259332.19,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Ekiti,2022,2025_Q1_or_latest_available_context,118452808502.43,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Enugu,2022,2025_Q1_or_latest_available_context,89887652914.75,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
FCT,2022,2025_Q1_or_latest_available_context,112489595162.94,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Gombe,2022,2025_Q1_or_latest_available_context,139096654264.82,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Imo,2022,2025_Q1_or_latest_available_context,207520959471.52,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Jigawa,2022,2025_Q1_or_latest_available_context,44406862432.83,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Kaduna,2022,2025_Q1_or_latest_available_context,86863069011.79,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Kano,2022,2025_Q1_or_latest_available_context,125186662228.72,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Katsina,2022,2025_Q1_or_latest_available_context,62374809154.32,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Kebbi,2022,2025_Q1_or_latest_available_context,60131306074.57,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Kogi,2022,2025_Q1_or_latest_available_context,90156501322.0,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Kwara,2022,2025_Q1_or_latest_available_context,109551279948.44,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Lagos,2022,2025_Q1_or_latest_available_context,877035995031.7,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Nasarawa,2022,2025_Q1_or_latest_available_context,72627065374.64,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Niger,2022,2025_Q1_or_latest_available_context,98262195557.88,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Ogun,2022,2025_Q1_or_latest_available_context,241782021304.96,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Ondo,2022,2025_Q1_or_latest_available_context,78824638559.93,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Osun,2022,2025_Q1_or_latest_available_context,149409835462.63,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Oyo,2022,2025_Q1_or_latest_available_context,160071143937.27,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Plateau,2022,2025_Q1_or_latest_available_context,151903415543.09,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Rivers,2022,2025_Q1_or_latest_available_context,225505011356.0,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Sokoto,2022,2025_Q1_or_latest_available_context,85584818029.23,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Taraba,2022,2025_Q1_or_latest_available_context,90807647838.11,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Yobe,2022,2025_Q1_or_latest_available_context,92859643611.94,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Zamfara,2022,2025_Q1_or_latest_available_context,109692050891.29,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
