state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,target_beni_expanded_score,beni_expanded_rank,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,matching_grant_2018_2022_naira,cv_fold,source_file,source_sheets,merge_status,cleaning_status,interim_note
Akwa Ibom,2020,0.553382046589419,2,High Need,124.15404986435861,72.58063663482234,0.11303449166774318,0.47781595740663824,747.0474154683249,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Akwa Ibom,2022,0.4121288349029659,12,High Need,55.88285513918956,50.26024241759447,0.10266182882580724,0.3373553447046564,1310.071479628306,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.4495622968005901,17.0,0.478009,1383961.0,219617660991.63,High,5859894329.45,3.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Anambra,2018,0.27353723863589197,25,Medium Need,34.33136812900988,40.909635649838144,0.30304606670134676,0.34196570011708793,259.9417943107221,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Anambra,2019,0.19576253484218395,28,Lower Need,44.42159440979788,40.71953991321716,0.08257570065369299,0.34196570011708793,258.7339168490153,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Anambra,2020,0.20642587068340915,28,Lower Need,47.2217387926346,41.86176733934844,0.08911506487452413,0.34196570011708793,266.10814360770576,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Anambra,2022,0.20219177981346675,32,Lower Need,21.699371623856244,30.01906359615678,0.18994598169992283,0.3623608357480555,295.54804804804803,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.21836104564241002,35.0,0.201208,1847508.0,75696142356.69,Low,4655437723.68,4.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bauchi,2018,0.3765244005912122,15,Medium Need,34.834669050735975,61.26731060818779,0.19847376991602542,0.5427079238501713,250.6863511029412,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bauchi,2019,0.384478195272105,15,Medium Need,43.267692185703524,60.978990892328326,0.18986639178527534,0.5399787673911829,249.67764813543812,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bauchi,2020,0.3926951365885345,14,Medium Need,46.948036459664365,61.51956242674555,0.19260584376863446,0.5393760116090863,251.94194285714286,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bauchi,2022,0.4195484300476191,11,High Need,47.83133020228542,72.59805792546027,0.12895233164453979,0.5721261787157611,337.7923739879864,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.5399745234943202,10.0,0.703399,3166166.0,144278030172.82,High,4655417717.059999,5.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bayelsa,2018,0.26368993140964747,27,Lower Need,15.113072877535688,30.92313604919293,0.2716003005259204,0.46758903407635155,160.49601063829786,1473.83284521,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bayelsa,2019,0.1931819752527147,29,Lower Need,18.72459975369458,28.045884251786948,0.17256773399014777,0.42079778648835603,141.4360465116279,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bayelsa,2020,0.1840812271325031,34,Lower Need,15.04129285977633,28.1617579383341,0.1657859161853263,0.4199263690750115,141.98491879350348,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Bayelsa,2022,0.284009180739485,21,Medium Need,21.391297262059975,30.833215879727508,0.19214471968709257,0.538642236316655,188.3170731707317,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.3938476408749833,19.0,0.598393,794008.0,151158248963.07,High,5859870077.45,1.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Benue,2018,0.2594343785156279,28,Lower Need,18.529801597102164,25.078718662952646,0.13126697950111138,0.5841225626740947,135.46885344568162,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Benue,2019,0.2522252402736915,22,Medium Need,23.416053477044255,25.174540389972144,0.09488029847652607,0.5841225626740947,135.98645801986157,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Benue,2020,0.25601872773049583,22,Medium Need,25.669701425016964,25.289303621169918,0.09432255145894594,0.5841225626740947,136.77101536607412,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Benue,2022,0.2340571650619915,25,Medium Need,24.527340860904296,25.47833435771358,0.11015235935111681,0.5301167793484942,153.43584207279457,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.3440312861214429,23.0,0.67801,1936067.0,143368150982.89,Medium,4655417717.68,2.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Borno,2018,0.4819974172321306,7,High Need,30.945400703312973,73.78552515445719,0.30270220248010365,0.5606796116504854,460.9179875947622,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Borno,2019,0.49246644261251193,6,High Need,46.35014569168864,73.70818623124448,0.2684889690578604,0.5606796116504854,460.43487250172296,1519.8840788,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Borno,2020,0.496093572927057,6,High Need,47.179886784541196,74.48113415710503,0.26864211335523097,0.5606796116504854,465.263266712612,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Borno,2022,0.49572986437132477,6,High Need,48.71341429906028,80.73941160397122,0.313458262350937,0.45304672556699155,624.2521126760563,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.649319458312419,3.0,0.601749,1906072.0,96329344297.36,Medium,5859890077.38,3.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Cross River,2018,0.2042145328385616,36,Lower Need,15.769494335451782,24.12691299568783,0.2020447637468914,0.44677432992305743,117.621187139324,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Cross River,2019,0.17265429680671535,37,Lower Need,19.42691682470875,24.251204870212227,0.11297751286914115,0.44677432992305743,118.22712283594394,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Cross River,2020,0.17519647967165172,37,Lower Need,20.378316273240024,24.74448296271244,0.11224845066499547,0.44677432992305743,120.63190436933223,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Cross River,2022,0.18095001031583563,36,Lower Need,12.988239137536752,19.948319116909182,0.16067733856038333,0.4427997992975414,169.9017094017094,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.27710652741860303,27.0,0.588259,1422316.0,175198799155.96,High,5859870077.440001,4.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Delta,2018,0.2683612629513222,26,Lower Need,21.412552806276402,37.069652434352584,0.24019312009656005,0.4373476352998537,240.8185520361991,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Delta,2019,0.2173235948477811,25,Medium Need,28.771831893081423,37.11986704521848,0.094680908163813,0.43480368395540475,241.46306306306306,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Delta,2020,0.21768172487178677,25,Medium Need,28.310395162131165,37.57091462570914,0.0948284850380565,0.43441261934412617,244.1771582733813,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Delta,2022,0.21015932948819582,31,Lower Need,25.746430405752438,37.935749962161346,0.1292758089368259,0.3777054639019222,321.3352564102564,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.25083570327472376,31.0,0.342217,1655631.0,272612510528.95,High,5859890077.440001,5.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ebonyi,2018,0.3246343386482827,20,Medium Need,33.10366417644966,39.834931506849315,0.1592315901814301,0.5593321917808219,234.39395465994963,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ebonyi,2019,0.2986190755040859,20,Medium Need,36.55764558350968,39.93484589041096,0.08409749980405988,0.5593321917808219,234.98186397984887,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ebonyi,2020,0.301778120527817,20,Medium Need,38.51360821382008,40.46566780821918,0.08050847457627118,0.5593321917808219,238.10528967254407,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ebonyi,2022,0.2616656162227856,22,Medium Need,29.960140474100086,33.99203107879271,0.10272168568920105,0.512102799083574,252.4008875739645,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.3629204977702607,22.0,0.676609,1025052.0,67060019562.44,Low,4655437723.68,1.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Edo,2018,0.22128900998858886,31,Lower Need,30.846691806650668,36.84676494676495,0.14405210833047652,0.4084357084357084,209.3527221963704,1473.83284521,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Edo,2019,0.2019329926926285,27,Lower Need,42.98962497620408,36.99009009009009,0.0508280982295831,0.4084357084357084,210.1670544439274,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Edo,2020,0.20760598461101504,27,Lower Need,45.9990990089098,37.63185913185913,0.04845329862849134,0.4084357084357084,213.71395348837208,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Edo,2022,0.23201160417018887,26,Lower Need,35.16823438704703,41.3912885662432,0.15528141865844255,0.350453720508167,346.6048632218845,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.27056403383474986,29.0,0.318674,1473259.0,110991259332.19,Medium,4655437723.69,2.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ekiti,2018,0.2045617401306989,35,Lower Need,20.289532941091014,29.084339858392337,0.1122248855959904,0.47542690545606,155.44017807456873,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ekiti,2019,0.184650205603724,35,Lower Need,24.304646710755307,29.08256976259892,0.049947789766794294,0.47542690545606,155.43071786310517,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ekiti,2020,0.18703872155219722,32,Lower Need,25.736031002162942,29.638505448884278,0.04848594087959625,0.473897249610794,158.47225305216426,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Ekiti,2022,0.16138707170275832,37,Lower Need,18.00805112881806,24.84665597801191,0.09063745019920319,0.42304168575355017,194.4094982078853,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.17092673976357228,36.0,0.282275,1131635.0,118452808502.43,Medium,5859890076.82,3.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Enugu,2018,0.2546900031589669,29,Lower Need,16.99677610015582,24.310405779280664,0.26081349739401427,0.4878573624346757,119.8662372110648,1473.83284521,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
