state,year,target_beni_expanded_score,beni_expanded_rank,target_beni_core_score,beni_core_rank,school_age_basic_population,matching_grant_2018_2022_naira,nbs_socioeconomic_need_proxy,dmo_domestic_debt_stock_naira,fiscal_pressure_band,equal_allocation_share,population_based_allocation_share,beni_expanded_allocation_share,matching_grant_2018_2022_share,equal_allocation_rank,population_based_rank,beni_expanded_allocation_rank,matching_grant_rank,beni_minus_population_share,beni_minus_equal_share,beni_rank_minus_population_rank,source_file,source_sheet,processed_dataset_name,processed_status,interpretation_note
Rivers,2022,0.4070459394426853,18,0.40455693338508514,18,2109699,5859890077.440001,0.386965,225505011356.0,High,0.02702702702702703,0.029947503195826102,0.02626179798971179,0.02958166715269422,1,11,18,4,-0.0036857052061143106,-0.0007652290373152369,7,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Bayelsa,2022,0.3938476408749833,19,0.33034545892417877,21,794008,5859870077.45,0.598393,151158248963.07,High,0.02702702702702703,0.011271066212531499,0.02541026990109491,0.02958156618952948,1,37,19,21,0.01413920368856341,-0.0016167571259321188,-18,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Plateau,2022,0.3677203486101616,20,0.2697885563393916,23,1471108,5859890077.440001,0.70417,151903415543.09,High,0.02702702702702703,0.02088260530597272,0.023724588740839728,0.02958166715269422,1,22,20,4,0.0028419834348670063,-0.003302438286187301,-2,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Nasarawa,2022,0.36395511677989006,21,0.33122610070997316,20,901756,5859890076.75,0.465279,72627065374.64,Low,0.02702702702702703,0.012800565716652168,0.023481663438977216,0.02958166714921099,1,35,21,20,0.010681097722325048,-0.003545363588049813,-14,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Ebonyi,2022,0.3629204977702607,22,0.2716380987054616,22,1025052,4655437723.68,0.676609,67060019562.44,Low,0.02702702702702703,0.014550771482513826,0.023414911869205007,0.02350139804195129,1,34,22,27,0.00886414038669118,-0.003612115157822022,-12,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Benue,2022,0.3440312861214429,23,0.2485842402536425,25,1936067,4655417717.68,0.67801,143368150982.89,Medium,0.02702702702702703,0.027482770134428396,0.022196217337611446,0.023501297048447105,1,14,23,32,-0.005286552796816949,-0.004830809689415582,9,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Ondo,2022,0.34277829769330664,24,0.34769923759618815,19,1663525,5859890077.440001,0.313571,78824638559.93,Low,0.02702702702702703,0.02361399434413943,0.02211537700536734,0.02958166715269422,1,18,24,4,-0.001498617338772091,-0.004911650021659688,6,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Enugu,2022,0.31092872542172634,25,0.2468163218389733,26,1434154,5859890077.45,0.540537,89887652914.75,Low,0.02702702702702703,0.020358037567589873,0.020060505670205078,0.0295816671527447,1,23,25,3,-0.00029753189738479513,-0.00696652135682195,2,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Ogun,2022,0.2831089893214948,26,0.22273030264485838,31,2036732,2993696924.0699997,0.506861,241782021304.96,High,0.02702702702702703,0.02891172535941918,0.01826563138502812,0.015112663342410623,1,12,26,37,-0.01064609397439106,-0.008761395641998907,14,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Cross River,2022,0.27710652741860303,27,0.19305403607544558,36,1422316,5859870077.440001,0.588259,175198799155.96,High,0.02702702702702703,0.02018999532894247,0.017878364428992363,0.029581566189479002,1,24,27,22,-0.002311630899950106,-0.009148662598034665,3,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Kogi,2022,0.27121871059127395,28,0.19338515255505545,35,1234128,5859870077.43,0.561469,90156501322.0,Low,0.02702702702702703,0.017518637599040657,0.017498494146214332,0.029581566189428518,1,30,28,23,-2.0143452826325292e-05,-0.009528532880812696,-2,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Edo,2022,0.27056403383474986,29,0.2596332250152189,24,1473259,4655437723.69,0.318674,110991259332.19,Medium,0.02702702702702703,0.020913139083243423,0.01745625569825945,0.02350139804200177,1,21,29,26,-0.0034568833849839727,-0.009570771328767578,8,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Kwara,2022,0.2657256429926266,30,0.23347478016656012,27,1108383,4655296534.98,0.39239,109551279948.44,Medium,0.02702702702702703,0.015733667899875445,0.01714409230199738,0.02350068529869605,1,33,30,34,0.0014104244021219368,-0.009882934725029647,-3,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Delta,2022,0.25083570327472376,31,0.22945920142424678,28,1655631,5859890077.440001,0.342217,272612510528.95,High,0.02702702702702703,0.023501937794732218,0.016183422876118955,0.02958166715269422,1,19,31,4,-0.0073185149186132635,-0.010843604150908074,12,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
FCT,2022,0.2348073799805532,32,0.22649502132522267,30,880840,5859890077.43,0.283288,112489595162.94,Medium,0.02702702702702703,0.012503659865701915,0.01514930719610105,0.02958166715264374,1,36,32,15,0.0026456473303991344,-0.01187771983092598,-4,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Osun,2022,0.23384002082242206,33,0.21923753339182808,32,1274894,5859890077.440001,0.30537,149409835462.63,High,0.02702702702702703,0.018097317266273304,0.015086895098761077,0.02958166715269422,1,29,33,4,-0.0030104221675122268,-0.011940131928265952,4,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Abia,2022,0.2269636974552347,34,0.21319688769359288,33,1275605,2993716917.88,0.297362,104573334025.73,Medium,0.02702702702702703,0.01810741002110337,0.014643248331449603,0.01511276427437773,1,28,34,36,-0.0034641616896537667,-0.012383778695577425,6,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Anambra,2022,0.21836104564241002,35,0.22942102694554212,29,1847508,4655437723.68,0.201208,75696142356.69,Low,0.02702702702702703,0.02622566144948369,0.014088222271262014,0.02350139804195129,1,16,35,27,-0.012137439178221677,-0.012938804755765015,19,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Ekiti,2022,0.17092673976357228,36,0.15011793395805745,37,1131635,5859890076.82,0.282275,118452808502.43,Medium,0.02702702702702703,0.016063733631673842,0.011027854784295252,0.029581667149564356,1,32,36,19,-0.00503587884737859,-0.015999172242731778,4,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Lagos,2022,0.16174238073952138,37,0.19409085688742564,34,3782715,5859748888.74,0.083087,877035995031.7,High,0.02702702702702703,0.05369622375106559,0.010435298126722763,0.029580954409438982,1,3,37,25,-0.04326092562434283,-0.016591728900304265,34,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
